Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,ORD-2025-0275,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-06-11 00:00:00,Se debe reparar un tope de estacionamientos,Junio 2024,Baja,Otros,Correctivo,Facility,2024-07-11 00:00:00,30/01/2025,2025-01-30 00:00:00,Enero 2025,Atrasado,233,442,2150-02-07 00:00:00,Finalizado,,,,,-
,ORD-2025-0274,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-06-11 00:00:00,"Se debe de reparar las bases de la loza que carga los aires acondicionado, esta se encuentra con oxido.",Junio 2024,Baja,Aire acondicionado,Correctivo,Facility,2024-07-11 00:00:00,17/01/2025,2025-01-17 00:00:00,Enero 2025,Atrasado,220,442,2150-02-07 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0273,Real State,"Inversiones Aventura 20A, S.A.",Apartamento 20a,2024-07-03 00:00:00,"Cielo raso dañado en el area del baño, causado por los trabajos que se realizan en el apartamento de arriba",Julio 2024,Baja,Cielo raso,Correctivo,Facility,2024-08-02 00:00:00,2025-02-19 00:00:00,2025-02-28 00:00:00,Febrero 2025,Atrasado,240,420,2150-03-01 00:00:00,Finalizado,,,,,-
,ORD-2025-0194,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-08-01 00:00:00,Cambiar lamparas del monolito de la entrada quemadas (El chico),Agosto 2024,Baja,Iluminacion,Correctivo,Facility,2024-08-31 00:00:00,2025-03-19 00:00:00,2025-03-19 00:00:00,Marzo 2025,Atrasado,230,391,2150-03-30 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0195,Real State,Skalop,Local,2024-08-02 00:00:00,Se debe realizar una reparacion integral en la losa del local. ,Agosto 2024,Baja,Estructura,Proyectos especiales,Facility,2024-09-01 00:00:00,,,,En Espera,En Espera de Informacion,390,2150-03-31 00:00:00,Sin realizar,Proovedor,,,,-
,ORD-2025-0196,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2024-08-02 00:00:00,Bomba de agua en la planta baja se encuentra a la interperie,Agosto 2024,Media,Estructura,Adecuación,Facility,2024-08-17 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,Abril 2025,Atrasado,245,390,2150-03-31 00:00:00,Finalizado,,,,,-
,ORD-2025-0310,Real State,"Juwow, S.A.",Oficina 21-A,2024-08-05 00:00:00,Cliente reporta que las oficinas gerenciales tienen problema de enfriamiento,Mayo 2024,Alta,Aire acondicionado,Proyectos especiales,Cliente,2024-08-10 00:00:00,13/01/2025,06/30/25,Junio 2025,Atrasado,329,387,2150-04-03 00:00:00,Finalizado,,,,,-
,ORD-2025-0191,Real State,"Bodegas Industriales, S.A.",Bodega 4,2024-08-06 00:00:00,Baño de la galera con pintura en mal estado,Agosto 2024,Media,Pintura,Correctivo,Comercial,2024-08-21 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,Abril 2025,Atrasado,240,386,2150-04-04 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0192,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-08-12 00:00:00,Se deben de quitar los cables que se ven en la fachada,Agosto 2024,Media,Limpieza,Correctivo,Facility,2024-08-27 00:00:00,2025-08-01 00:00:00,2025-01-08 00:00:00,Enero 2025,Atrasado,149,380,2150-04-10 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0439,Real State,"Bodegas Industriales, S.A.",Bodega 6,2024-10-01 00:00:00,Reparar la fuga de agua en el drenaje del lavamanos del area de baño de la bodega 6. Esta filtrando agua hacia la oficina principal,Octubre 2024,Media,Plomeria ,Correctivo,Facility,2024-10-16 00:00:00,2025-07-01 00:00:00,2025-01-07 00:00:00,Enero 2025,Atrasado,98,330,2150-05-30 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0443,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-10-01 00:00:00,Remplazo de foco quemado en el área del mural de la partes posterior del local,Octubre 2024,Baja,Iluminacion,Correctivo,Facility,2024-10-31 00:00:00,17/01/2025,2025-01-17 00:00:00,Enero 2025,Atrasado,108,330,2150-05-30 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0440,Real State,"Inmobiliaria Cuca, S.A.",Apartamento 2,2024-10-11 00:00:00,Se debe realizar el cambio del aislante en las tuberias de cobre del aire acondicionado,Octubre 2024,Media,Aire acondicionado,Correctivo,Facility,2024-10-26 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,Mayo 2025,Atrasado,216,320,2150-06-09 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0445,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-10-11 00:00:00,limpiar y pintar bases de la cerca verde,Octubre 2024,Baja,Pintura,Correctivo,Facility,2024-11-10 00:00:00,29/01/2025,2025-01-29 00:00:00,Enero 2025,Atrasado,110,320,2150-06-09 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0444,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-10-11 00:00:00,Pintar base de cerca negra,Octubre 2024,Baja,Pintura,Correctivo,Facility,2024-11-10 00:00:00,13/01/2025,2025-01-13 00:00:00,Enero 2025,Atrasado,94,320,2150-06-09 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0446,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-10-11 00:00:00,Se debe reparar la losa frente a los locales 1 y 2,Octubre 2024,Baja,Filtración/Goteras,Correctivo,Facility,2024-11-10 00:00:00,27/12/2024,2025-01-03 00:00:00,Enero 2025,Atrasado,84,320,2150-06-09 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0450,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2024-10-11 00:00:00,Se deben de verificar las filtraciones en el deposito del cuarto de bomba,Octubre 2024,Media,Filtración/Goteras,Correctivo,Facility,2024-10-26 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,Junio 2025,Atrasado,255,320,2150-06-09 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0441,Real State,"Plaza Pacifica Top, S.A.",Area Comun,2024-10-18 00:00:00,Reparacion  de la cerca de lubers en  area donde estan los tableros eléctrios y unidades de AA,Octubre 2024,Baja,Otros,Correctivo,Facility,2024-11-17 00:00:00,2025-06-06 00:00:00,2025-06-09 00:00:00,Junio 2025,Atrasado,234,313,2150-06-16 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0442,Real State,"Plaza Pacifica Top, S.A.",Area Comun,2024-10-18 00:00:00,"Reparacion del pasamanos, el mismo se encuentra flojo.",Octubre 2024,Baja,Otros,Correctivo,Facility,2024-11-17 00:00:00,2025-06-04 00:00:00,2025-06-06 00:00:00,Junio 2025,Atrasado,231,313,2150-06-16 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0447,Real State,Skalop,Local,2024-10-18 00:00:00,reparacion de la puerta posterior,Octubre 2024,Baja,Puertas,Correctivo,Cliente,2024-11-17 00:00:00,19/2/2025,2025-02-19 00:00:00,Febrero 2025,Atrasado,124,313,2150-06-16 00:00:00,Finalizado,,,,,-
,ORD-2025-0448,Real State,Skalop,Local,2024-10-18 00:00:00,tapar hueco de la pared posterior,Octubre 2024,Baja,Paredes,Correctivo,Cliente,2024-11-17 00:00:00,19/2/2025,2025-02-19 00:00:00,Febrero 2025,Atrasado,124,313,2150-06-16 00:00:00,Finalizado,,,,,-
,ORD-2025-0451,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2024-10-18 00:00:00,"Problemas de filtraciones en los apartamentos, provocadas por la mala instalacion del piso del rooftop",Octubre 2024,Alta,Filtración/Goteras,Proyectos especiales,Facility,2024-10-23 00:00:00,2024-03-01 00:00:00,2025-01-10 00:00:00,Enero 2025,Atrasado,84,313,2150-06-16 00:00:00,Finalizado,,,,,-
,ORD-2025-0449,Real State,Skalop,Local,2024-10-29 00:00:00,Se debe tumbar la loza que se encuentra en la parte exterior trasera de la propiedad para que el aire caliente tenga una salida natural,Octubre 2024,Baja,Techo,Correctivo,Facility,2024-11-28 00:00:00,2025-08-01 00:00:00,2025-01-08 00:00:00,Enero 2025,Atrasado,71,302,2150-06-27 00:00:00,Finalizado,,,,,-
,ORD-2025-0438,Real State,"Productos Premium, S.A. ",Oficina 39-C,2024-11-01 00:00:00,Se debe verificar fuga en el sistema de enfrimiento del aire acondicionado,Noviembre 2024,Baja,Aire acondicionado,Correctivo,Cliente,2024-12-01 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,Febrero 2025,Atrasado,98,299,2150-06-30 00:00:00,Finalizado,,,,,-
,ORD-2025-0437,Real State,"Plaza Pacifica Top, S.A.",Edificio,2024-11-15 00:00:00,Se reporta fuertes ruidos en el techo del edificio,Noviembre 2024,Baja,Techo,Correctivo,Facility,2024-12-15 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,,Atrasado,213,285,2150-07-14 00:00:00,Finalizado,,,,,-
,ORD-2025-0436,Real State,Marina View Consortium Inc.,Oficina 22-A,2024-11-22 00:00:00,Comercial nos reporta que parte del piso de las oficinas internas se encuentra levantado (4 baldosas).,Noviembre 2024,Media,Pisos,Correctivo,Comercial,2024-12-07 00:00:00,2025-04-21 00:00:00,2025-07-01 00:00:00,,Atrasado,221,278,2150-07-21 00:00:00,Finalizado,,,,,-
,ORD-2025-0435,Real State,"Bodegas Industriales, S.A.",Bodega 6,2024-11-27 00:00:00,Comercial solicita que se le de apoyo al cliente con colocacion de un lavamanos.,Noviembre 2024,Media,Plomeria ,Apoyo,Comercial,2024-12-12 00:00:00,27/01/2025,2025-01-27 00:00:00,Enero 2025,Atrasado,61,273,2150-07-26 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0201,Real State,"Inmobiliaria Cuca, S.A.",Apartamento,2024-12-01 00:00:00,Reparacion de afectaciones por filtraciones en el apartamento,Diciembre 2024,Media,Reparaciones varias,Proyectos especiales,Facility,2024-12-16 00:00:00,2025-03-14 00:00:00,2025-03-15 00:00:00,Marzo 2025,Atrasado,104,269,2150-07-30 00:00:00,Finalizado,,,,,-
,ORD-2025-0213,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2024-12-01 00:00:00,Tramites y trabajos para la nueva acometida eléctrica para la propiedad,Diciembre 2024,Media,Electricidad,Proyectos especiales,Facility,2024-12-16 00:00:00,2025-07-07 00:00:00,2025-07-07 00:00:00,,Atrasado,218,269,2150-07-30 00:00:00,Finalizado,,,,,-
,ORD-2025-0212,Real State,"Tower Consortium, S.A. ",Area Comun,2024-12-04 00:00:00,"Cliente menciona que la pared del cuarto mecanico esta rota, piden evaluar esta situacion",Diciembre 2024,Media,Paredes,Correctivo,Comercial,2024-12-19 00:00:00,,,,En Espera,En Espera de Informacion,266,2150-08-02 00:00:00,Sin realizar,,,,,-
,ORD-2025-0204,Mercado Local,Miniso Altaplaza,Recepcion,2024-12-10 00:00:00,Cambio de luminaria en recepción que estaba dañada,Diciembre 2024,Baja,Iluminacion,Correctivo,Master Retail,2025-01-09 00:00:00,14/01/2025,2025-01-14 00:00:00,Enero 2025,Atrasado,35,260,2150-08-08 00:00:00,Finalizado,,,,,-
,ORD-2025-0205,Mercado Local,Miniso Westland,Bodega,2024-12-10 00:00:00,Instalación de tres salidas eléctricas nuevas en el área de la galera,Diciembre 2024,Baja,Electricidad,Adecuación,Master Retail,2025-01-09 00:00:00,30/01/2025,2025-01-30 00:00:00,Enero 2025,Atrasado,51,260,2150-08-08 00:00:00,Finalizado,,,,,-
,ORD-2025-0214,Real State,"Yafe Casco Viejo, S.A.",Apartamento 4-A,2024-12-10 00:00:00,Se debe realizar las reparaciones en el cielo del apartamento ocasionadas por la filtracion que proviene del rooftop,Diciembre 2024,Alta,Pintura,Correctivo,Facility,2024-12-15 00:00:00,18/12/2024,2025-01-15 00:00:00,Enero 2025,Atrasado,36,260,2150-08-08 00:00:00,Finalizado,,,,,-
,ORD-2025-0203,Real State,Marina View Consortium Inc.,22-E,2024-12-12 00:00:00,El cliente reporta que el área de la antigua oficina de Daniel está caliente,Diciembre 2024,Alta,Aire acondicionado,Proyectos especiales,Cliente,2024-12-17 00:00:00,,,,En Espera,En Espera de Informacion,258,2150-08-10 00:00:00,Sin realizar,,,,,-
,ORD-2025-0206,Real State,"Plaza Pacifica Top, S.A.",Local 1,2024-12-14 00:00:00,Cliente reportó goteras en el área de la recepción.,Diciembre 2024,Alta,Filtración/Goteras,Correctivo,Cliente,2024-12-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,Mayo 2025,Atrasado,156,256,2150-08-12 00:00:00,Finalizado,Proovedor,,,,-
,ORD-2025-0198,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-12-18 00:00:00,Se debe pintar el muro perimetral el cual se encontraba con desperfectos y se repello,Diciembre 2024,Baja,Pintura,Correctivo,Facility,2025-01-17 00:00:00,2025-07-07 00:00:00,2025-07-07 00:00:00,2025-07-07 00:00:00,Atrasado,201,252,2150-08-16 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0208,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-12-20 00:00:00,Se debe reforzar la cerca negra completa. ,Diciembre 2024,Baja,Herreria,Adecuación,Facility,2025-01-19 00:00:00,2025-03-12 00:00:00,2025-03-12 00:00:00,Marzo 2025,Atrasado,82,250,2150-08-18 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0209,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-12-24 00:00:00,Pintar la fachada del edificio de toda la plaza,Diciembre 2024,Baja,Pintura,Proyectos especiales,Facility,2025-01-23 00:00:00,31/01/2025,2025-02-21 00:00:00,Febrero 2025,Atrasado,59,246,2150-08-22 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0211,Real State,Skalop,Local,2024-12-24 00:00:00,"Reparación de hueco en la losa del vecino, abierta por error. ",Diciembre 2024,Alta,Estructura,Correctivo,Facility,2024-12-29 00:00:00,24/12/2024,2025-01-03 00:00:00,Enero 2025,Atrasado,10,246,2150-08-22 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0199,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-12-26 00:00:00,Se deben desinstalar lámparas no operativas en el área común.,Diciembre 2024,Baja,Iluminacion,Adecuación,Facility,2025-01-25 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,Abril 2025,Atrasado,119,244,2150-08-24 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0200,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-12-31 00:00:00,Se deben colocar los letreros en las áreas de los estacionamientos,Diciembre 2024,Baja,Señalizacion ,Adecuación,Facility,2025-01-30 00:00:00,2025-05-05 00:00:00,2025-07-01 00:00:00,Julio 2025,Atrasado,182,239,2150-08-29 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0210,Real State,"Royal Plaza Corp, S.A.",Area Comun,2024-12-31 00:00:00,Se deben colocar los letreros en las áreas de los estacionamientos,Diciembre 2024,Baja,Señalizacion ,Adecuación,Facility,2025-01-30 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,Abril 2025,Atrasado,106,239,2150-08-29 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0228,Real State,"Tower Consortium, S.A. ",Oficina 32,2025-01-01 00:00:00,Balance del sistema de aire acondicionado,Enero 2025,Baja,Aire Acondicionado,Proyectos especiales,Cliente,2025-01-31 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,Junio 2025,Atrasado,151,238,2150-08-30 00:00:00,Finalizado,Proovedor,,Proveedor ,,-
,ORD-2025-0217,Real State,"Bodegas Industriales, S.A.",Area Comun,2025-01-06 00:00:00,Comercial solicita la movilización de la canaleta que se encuentra frente a la bodega 6,Enero 2025,Baja,Otros,Correctivo,Facility,2025-02-05 00:00:00,19/2/2025,2025-02-19 00:00:00,Febrero 2025,Atrasado,44,233,2150-09-04 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0231,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2025-01-06 00:00:00,Se observa corrosión en la baranda negra que se encuentra en el rooftop (pintar),Enero 2025,Baja,Pintura,Correctivo,Facility,2025-02-05 00:00:00,2025-04-25 00:00:00,2025-04-30 00:00:00,Abril 2025,Atrasado,114,233,2150-09-04 00:00:00,Finalizado,Facility,,  2 galones de  pintura anti corrosiba negra ,,-
,ORD-2025-0230,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2025-01-06 00:00:00,Se debe realizar el reemplazo de las lámparas del área común quemadas,Enero 2025,Baja,Iluminacion,Correctivo,Facility,2025-02-05 00:00:00,2025-04-03 00:00:00,2025-07-07 00:00:00,Abril 2025,Atrasado,182,233,2150-09-04 00:00:00,Finalizado,Facility,39.97,,,-
,ORD-2025-0224,Real State,"Inversiones Aventura 20A, S.A.",Apartamento 20a,2025-01-07 00:00:00,Se tienen dos aires acondicionados que están presentando alarma. Cuarto principal.,Enero 2025,Baja,Aire acondicionado,Correctivo,Comercial,2025-02-06 00:00:00,2025-06-27 00:00:00,2025-06-27 00:00:00,Junio 2025,Atrasado,171,232,2150-09-05 00:00:00,Finalizado,Proovedor,1900,,,-
,ORD-2025-0229,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2025-01-07 00:00:00,Se quemo 1 de las bombas de agua del edificio (rooftop).,Enero 2025,Alta,Plomeria ,Correctivo,Proveedor,2025-01-12 00:00:00,2025-07-01 00:00:00,2025-01-07 00:00:00,Enero 2025,A Tiempo,0,232,2150-09-05 00:00:00,Finalizado,Proovedor,,,,-
,ORD-2025-0233,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2025-01-09 00:00:00,Morris sugiere que las paredes blancas del área de las escaleras sean revestidas con porcelanato,Enero 2025,Media,Paredes,Adecuación,Facility,2025-01-24 00:00:00,,,,En Espera,En Espera de Informacion,230,2150-09-07 00:00:00,Sin realizar,Proovedor,4200,Abel tiene el presupuesto,,-
,ORD-2025-0234,Real State,"Yafe Casco Viejo, S.A.",Area Comun,2025-01-09 00:00:00,Se debe cambiar las laminas de poliuretano en los aleros,Enero 2025,Media,Techo,Correctivo,Facility,2025-01-24 00:00:00,,,,En Espera,En Espera de Informacion,230,2150-09-07 00:00:00,Sin realizar,Proovedor,,,,-
,ORD-2025-0216,Aeropuerto,Bodega 12,Bodega,2025-01-10 00:00:00,Remplazo de unidad de 5 toneladas que esta dañada,Enero 2025,Baja,Aire acondicionado,Proyectos especiales,Master Retail,2025-02-09 00:00:00,26/12/2024,2025-02-14 00:00:00,Febrero 2025,Atrasado,35,229,2150-09-08 00:00:00,Finalizado,Proovedor,0,,,-
,ORD-2025-0226,Real State,Marina View Consortium Inc.,Oficina 22-E,2025-01-10 00:00:00,Cliente reporta que se despego zócalo en oficinas internas.,Enero 2025,Baja,Pisos,Correctivo,Cliente,2025-02-09 00:00:00,2025-10-01 00:00:00,2025-01-10 00:00:00,Enero 2025,A Tiempo,0,229,2150-09-08 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0215,Aeropuerto,Bodega 12,Bodega,2025-01-13 00:00:00,Adecuaciones en parrilla para soporte de aire acondicionado,Enero 2025,Baja,Herreria,Correctivo,Facility,2025-02-12 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,Febrero 2025,A Tiempo,25,226,2150-09-11 00:00:00,Finalizado,Proovedor,0,,,-
,ORD-2025-0218,Real State,"Bodegas Industriales, S.A.",Area Comun,2025-01-13 00:00:00,Se debe realizar el resane de huecos en la fachada.,Enero 2025,Media,Gypsum,Correctivo,Facility,2025-01-28 00:00:00,14/01/2025,2025-01-14 00:00:00,Enero 2025,A Tiempo,1,226,2150-09-11 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0219,Real State,"Bodegas Industriales, S.A.",Bodega 6,2025-01-14 00:00:00,Se debe pintar las manchas en el área de la oficina ocasionadas por las filtraciones que sufrió la bodega,Enero 2025,Baja,Pintura,Correctivo,Master Retail,2025-02-13 00:00:00,19/2/2025,2025-02-10 00:00:00,Febrero 2025,A Tiempo,27,225,2150-09-12 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0220,Real State,"Bodegas Industriales, S.A.",Bodega 6,2025-01-14 00:00:00,"Se debe sellar hueco encontrado en la pared de la galera en la parte superior, este permite la entrada de roedores.",Enero 2025,Media,Gypsum,Correctivo,Cliente,2025-01-29 00:00:00,22/01/2025,2025-01-22 00:00:00,Enero 2025,A Tiempo,8,225,2150-09-12 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0221,Real State,"Bodegas Industriales, S.A.",Bodega 6,2025-01-14 00:00:00,Se debe destapar el lava trapeador y colocar rejilla.,Enero 2025,Media,Plomeria ,Correctivo,Cliente,2025-01-29 00:00:00,14/01/2025,2025-01-14 00:00:00,Enero 2025,A Tiempo,0,225,2150-09-12 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0225,Real State,Marina View Consortium Inc.,Oficina 22-A,2025-01-15 00:00:00,Cliente reporta que un difusor no cuenta con suministro de aire acondicionado.,Enero 2025,Media,Aire acondicionado,Correctivo,Cliente,2025-01-30 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,Febrero 2025,Atrasado,23,224,2150-09-13 00:00:00,Finalizado,Proovedor,,,,-
,ORD-2025-0222,Real State,"Bodegas Industriales, S.A.",Bodega 6,2025-01-20 00:00:00,Se debe realizar sellado de huecos en la puerta enrollable por posible paso a los ratones,Enero 2025,Media,Puertas,Correctivo,Cliente,2025-02-04 00:00:00,22/01/2025,2025-01-22 00:00:00,Enero 2025,A Tiempo,2,219,2150-09-18 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0223,Real State,"Dekel Casa Malecón, S.A.",Local,2025-01-22 00:00:00,se solicita realizar el cambio de los cilindros en las puertas izquierdas de frente a la propiedad,Enero 2025,Baja,Cerrajeria ,Apoyo,Comercial,2025-02-21 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,Febrero 2025,Atrasado,33,217,2150-09-20 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0227,Real State,"Royal Plaza Corp, S.A.",Area Comun,2025-01-28 00:00:00,Cliente solicito de manera extraordinaria se retocara la pintura del cordón por auditoria.,Enero 2025,Media,Pintura,Correctivo,Cliente,2025-02-12 00:00:00,2025-03-02 00:00:00,2025-02-03 00:00:00,Febrero 2025,A Tiempo,6,211,2150-09-26 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0240,Real State,"Inversiones Aventura 20A, S.A.",Apartamento 20a,2025-02-01 00:00:00,Se debe realizar reparación de muebles de la cocina los cuales se encuentran un poco deteriorados. ,Febrero 2025,Baja,Modulares,Correctivo,Facility,2025-03-03 00:00:00,2025-02-28 00:00:00,2025-03-05 00:00:00,Marzo 2025,Atrasado,32,207,2150-09-30 00:00:00,Finalizado,Proovedor,,,,-
,ORD-2025-0242,Real State,"Inversiones Aventura 20A, S.A.",Apartamento 20a,2025-02-01 00:00:00,Se debe realizar reparación de silla del comedor. ,Febrero 2025,Baja,Modulares,Correctivo,Facility,2025-03-03 00:00:00,2025-02-28 00:00:00,2025-03-05 00:00:00,Marzo 2025,Atrasado,32,207,2150-09-30 00:00:00,Finalizado,Proovedor,,,,-
,ORD-2025-0238,Real State,"Inversiones Aventura 20A, S.A.",Apartamento 20a,2025-02-01 00:00:00,Se debe realizar pintado completo de las paredes del apartamento por salida de cliente. ,Febrero 2025,Baja,Pintura,Correctivo,Facility,2025-03-03 00:00:00,2025-02-05 00:00:00,2025-02-28 00:00:00,Febrero 2025,A Tiempo,27,207,2150-09-30 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0241,Real State,"Inversiones Aventura 20A, S.A.",Apartamento 20a,2025-02-01 00:00:00,"Se debe realiza cambio de baquelitas en distintas áreas del apartamento, estas se encuentran quebradas. ",Febrero 2025,Baja,Otros,Correctivo,Facility,2025-03-03 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,Febrero 2025,A Tiempo,23,207,2150-09-30 00:00:00,Finalizado,Facility,,,,-
